Customer ID	Phone Service	Multiple Lines	Internet Service	Online Security	Online Backup	Device Protection Plan	Premium Tech Support	Streaming TV	Streaming Movies	Streaming Music	Unlimited Data	Paperless Billing	Gender	Age	Married	Number of Dependents	City	Number of Referrals	Tenure in Months	Offer	Avg Monthly Long Distance Charges	Internet Type	Avg Monthly GB Download	Contract	Payment Method	Monthly Charge	Total Charges	Total Refunds	Total Extra Data Charges	Total Long Distance Charges	Total Revenue	Customer Status	Churn Category	Churn Reason	ABC Метка	ABC Наименование группы	XYZ Метка	XYZ Наименование группы	RFM Метка	RFM Наименование группы
0002-ORFBO	1	0	1	0	1	0	1	1	0	0	1	1	Female	37	Yes	0	Frazier Park	2	9	None	42.39	Cable	16	One Year	Credit Card	65,6	593,3	0	0	381,51	974,81	Stayed			C	Низкорентабельный клиент	Z	Непредсказуемый клиент	333	Неактивные клиенты (Lost Customers)
0003-MKNFE	1	1	1	0	0	0	0	0	1	1	0	0	Male	46	No	0	Glendale	0	9	None	10.69	Cable	10	Month-to-Month	Credit Card	-4	542,4	38,33	10	96,21	610,28	Stayed			C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0004-TLHLJ	1	0	1	0	0	1	0	0	0	0	1	1	Male	50	No	0	Costa Mesa	0	4	Offer E	33.65	Fiber Optic	30	Month-to-Month	Bank Withdrawal	73,9	280,85	0	0	134,6	415,45	Churned	Competitor	Competitor had better devices	C	Низкорентабельный клиент	Z	Непредсказуемый клиент	133	Новички (New Customers)
0011-IGKFF	1	0	1	0	1	1	0	1	1	0	1	1	Male	78	Yes	0	Martinez	1	13	Offer D	27.82	Fiber Optic	4	Month-to-Month	Bank Withdrawal	98	1237,85	0	0	361,66	1599,51	Churned	Dissatisfaction	Product dissatisfaction	B	Средний клиент	Z	Непредсказуемый клиент	132	Новички (New Customers)
0013-EXCHZ	1	0	1	0	0	0	1	1	0	0	1	1	Female	75	Yes	0	Camarillo	3	3	None	7.38	Fiber Optic	11	Month-to-Month	Credit Card	83,9	267,4	0	0	22,14	289,54	Churned	Dissatisfaction	Network reliability	C	Низкорентабельный клиент	Y	Нестабильный клиент	133	Новички (New Customers)
0013-MHZWF	1	0	1	0	0	0	1	1	1	1	1	1	Female	23	No	3	Midpines	0	9	Offer E	16.77	Cable	73	Month-to-Month	Credit Card	69,4	571,45	0	0	150,93	722,38	Stayed			C	Низкорентабельный клиент	Y	Нестабильный клиент	133	Новички (New Customers)
0013-SMEOE	1	0	1	1	1	1	1	1	1	1	1	1	Female	67	Yes	0	Lompoc	1	71	Offer A	9.96	Fiber Optic	14	Two Year	Bank Withdrawal	109,7	7904,25	0	0	707,16	8611,41	Stayed			A	VIP-клиент	Y	Нестабильный клиент	311	Неактивные клиенты (Lost Customers)
0014-BMAQU	1	1	1	1	0	0	1	0	0	0	0	1	Male	52	Yes	0	Napa	8	63	Offer B	12.96	Fiber Optic	7	Two Year	Credit Card	84,65	5377,8	0	20	816,48	6214,28	Stayed			A	VIP-клиент	Y	Нестабильный клиент	311	Неактивные клиенты (Lost Customers)
0015-UOCOJ	1	0	1	1	0	0	0	0	0	0	1	1	Female	68	No	0	Simi Valley	0	7	Offer E	10.53	DSL	21	Two Year	Bank Withdrawal	48,2	340,35	0	0	73,71	414,06	Stayed			C	Низкорентабельный клиент	Y	Нестабильный клиент	333	Неактивные клиенты (Lost Customers)
0016-QLJIS	1	1	1	1	1	1	1	1	1	1	1	1	Female	43	Yes	1	Sheridan	3	65	None	28.46	Cable	14	Two Year	Credit Card	90,45	5957,9	0	0	1849,9	7807,8	Stayed			A	VIP-клиент	Z	Непредсказуемый клиент	311	Неактивные клиенты (Lost Customers)
